Etunimi,Lukumäärä
Anna-Greta,59
Corinne,59
Dagmar,59
Eeda,59
Eevaliisa,59
Eevastiina,59
Evy,59
Halimo,59
Layla,59
Milla-Mari,59
Reine,59
Rosalia,59
Roza,59
Sorja,59
Tarja-Riitta,59
Viona,59
Aana,58
Annmari,58
Ariel,58
Bettiina,58
Cornelia,58
Emine,58
Jamina,58
Kersti,58
Kikka,58
Lisette,58
Maritza,58
Miia-Mari,58
Najma,58
Safiya,58
Siiri-Sofia,58
Silla,58
Suvi-Maaria,58
Suzanne,58
Veera-Maria,58
Wera,58
Vilda,58
Aino-Elina,57
Anni-Elina,57
Eda,57
Edna,57
Engla,57
Flora,57
Freija,57
Görel,57
Jenna-Mari,57
Katia,57
Lioubov,57
Malak,57
Meh,57
Minella,57
Muusa,57
Nika,57
Sahar,57
Shukri,57
Soraya,57
Suvi-Päivi,57
Thu,57
Tuuli-Maria,57
Violetta,57
Anceliga,56
Anya,56
Ilana,56
Inka-Maria,56
Juli,56
Kaari,56
Tova,56
Alessandra,55
Anastasiia,55
Elissa,55
